source,target,version,fromRole,toRole
k9.mail.store.RemoteStore,k9.mail.store.StoreConfig,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.store.RemoteStore,k9.mail.store.imap.ImapStore,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Structurer
k9.mail.store.RemoteStore,k9.mail.store.imap.ImapStoreSettings,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.store.RemoteStore,k9.mail.store.pop3.Pop3Store,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Service Provider
k9.mail.store.RemoteStore,k9.mail.store.webdav.WebDavStore,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.store.RemoteStore,k9.mail.store.webdav.WebDavStoreSettings,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Structurer,Information Holder
k9.mail.store.StoreConfig,k9.mail.NetworkType,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.AlertResponse,k9.mail.store.imap.ImapList,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.store.imap.AlertResponse,k9.mail.store.imap.ImapResponse,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.AlertResponse,k9.mail.store.imap.ImapResponseParser,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.CapabilityResponse,k9.mail.store.imap.ImapList,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.store.imap.CapabilityResponse,k9.mail.store.imap.ImapResponse,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.CapabilityResponse,k9.mail.store.imap.ImapResponseParser,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.CopyUidResponse,k9.mail.store.imap.ImapList,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.store.imap.CopyUidResponse,k9.mail.store.imap.ImapResponse,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.CopyUidResponse,k9.mail.store.imap.ImapResponseParser,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.CopyUidResponse,k9.mail.store.imap.ImapUtility,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.FetchBodyCallback,k9.mail.Message,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.store.imap.FetchBodyCallback,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.FetchBodyCallback,k9.mail.filter.FixedLengthInputStream,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Coordinator
k9.mail.store.imap.FetchBodyCallback,k9.mail.store.imap.ImapList,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.store.imap.FetchBodyCallback,k9.mail.store.imap.ImapMessage,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Structurer
k9.mail.store.imap.FetchBodyCallback,k9.mail.store.imap.ImapResponse,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.FetchBodyCallback,k9.mail.store.imap.ImapResponseCallback,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.FetchBodyCallback,k9.mail.store.imap.ImapResponseParser,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.FetchPartCallback,k9.mail.Body,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.store.imap.FetchPartCallback,k9.mail.BodyFactory,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.store.imap.FetchPartCallback,k9.mail.Part,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.store.imap.FetchPartCallback,k9.mail.filter.FixedLengthInputStream,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Coordinator
k9.mail.store.imap.FetchPartCallback,k9.mail.store.imap.ImapResponse,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Information Holder
k9.mail.store.imap.FetchPartCallback,k9.mail.store.imap.ImapResponseCallback,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.store.imap.FetchPartCallback,k9.mail.store.imap.ImapResponseParser,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Coordinator,Service Provider
k9.mail.store.imap.ImapConnection,k9.mail.AuthenticationFailedException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.ImapConnection,k9.mail.CertificateValidationException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.ImapConnection,k9.mail.MessagingException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.ImapConnection,k9.mail.filter.PeekableInputStream,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.ImapConnection,k9.mail.oauth.OAuth2TokenProvider,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.ImapConnection,k9.mail.ssl.TrustedSocketFactory,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.ImapConnection,k9.mail.store.imap.ImapResponse,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
k9.mail.store.imap.ImapConnection,k9.mail.store.imap.ImapResponseCallback,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.ImapConnection,k9.mail.store.imap.ImapResponseParser,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.ImapConnection,k9.mail.store.imap.ImapSettings,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Service Provider
k9.mail.store.imap.ImapConnection,k9.mail.store.imap.NegativeImapResponseException,2017-11-15-k9-c113c23f5e23b269068aea3e8980a25b06e7f6e9,Service Provider,Information Holder
